,mean_valid,mean_estim,nme,nmae,nmse,nrmse,correlation
t+0,12.591144382544103,12.591144382544103,0.0,0.0,0.0,0.0,1.0
t+1,12.591144382544103,12.666377515335023,0.33415865822987184,0.06351046342644062,0.005075523066152955,0.08341278593807806,0.9906258652080295
t+2,12.586774605385328,12.717528757581437,1.1373064420474512,0.1089339879453673,0.014157559574981469,0.13933314346979325,0.9736782474158582
t+3,12.586205896007426,12.73614157138851,1.5334891531080066,0.13345918972059537,0.020400803620158062,0.16725971258854785,0.9618471994036458
