,mean_valid,mean_estim,nme,nmae,nmse,nrmse,correlation
t+0,54.8435773480663,54.8435773480663,0.0,0.0,0.0,0.0,1.0
t+1,54.8435773480663,54.03456053985314,0.041467198557424076,0.06826749222547804,0.009806669179260952,0.14992117932358046,0.9920925449513045
t+2,54.918047882136264,52.8247030421882,0.5961430889859863,0.16022377701072496,0.042623299788971114,0.31223026413526883,0.9663380810264245
t+3,54.99274861878453,51.54391384437393,0.4029644675618765,0.23469456798427352,0.08245315453684855,0.4338031366865023,0.9348714141551047
