,mean_valid,mean_estim,nme,nmae,nmse,nrmse,correlation
t+0,4.786609274563819,4.786609274563819,0.0,0.0,0.0,0.0,0.9999999999999998
t+1,4.786609274563819,4.712960297156169,0.02306777036524798,0.12226979896423891,0.03946309447759997,0.23857946570242683,0.9343085326995457
t+2,4.783221992653811,4.664337154708349,0.061842993127249814,0.19252808709227132,0.08015710176795997,0.3400963965569334,0.8634675574151898
t+3,4.773740817263544,4.626733342042145,0.10388589261698339,0.2342179217548622,0.10679730524584044,0.3925550476200931,0.8148926054349875
