,mean_valid,mean_estim,nme,nmae,nmse,nrmse,correlation
t+0,6.956139233241506,6.956139233241506,0.0,0.0,0.0,0.0,0.9999999999999999
t+1,6.956139233241506,6.792871489017395,1.0124624721085587,0.15206758872416032,0.05423470330199238,0.34038275674729696,0.9480080601064191
t+2,6.947940197428835,6.682717978233041,1.6822000857171318,0.24432878052229623,0.1169115689237136,0.5000506957704421,0.8850684721986233
t+3,6.92719639577594,6.582321051747478,2.139897762211987,0.30458238645886077,0.16102092127496434,0.5871991221553817,0.8388759382049933
