,mean_valid,mean_estim,nme,nmae,nmse,nrmse,correlation
t+0,7.564367816091953,7.564367816091953,0.0,0.0,0.0,0.0,0.9999999999999998
t+1,7.564367816091953,7.626213294740295,-0.014622430931360779,0.22469937124420636,0.061480312268868846,0.3156625084671435,0.91635905779375
t+2,7.558155172413794,7.6890264086949704,-0.029151526692575213,0.32245511724788634,0.11543269482606786,0.43269003849051624,0.8363303254380914
t+3,7.559913793103449,7.695776530340894,0.04173119482304361,0.3547488809946605,0.1410696877963814,0.47830940961415835,0.795335649677021
