x_utm,y_utm,value
347212.43313307303,5810285.006805061,
347222.43313307303,5810285.006805061,
347232.43313307303,5810285.006805061,
347242.43313307303,5810285.006805061,
347252.43313307303,5810285.006805061,
347262.43313307303,5810285.006805061,
347272.43313307303,5810285.006805061,
347282.43313307303,5810285.006805061,
347292.43313307303,5810285.006805061,
347302.43313307303,5810285.006805061,
347182.43313307303,5810275.006805061,
347192.43313307303,5810275.006805061,
347202.43313307303,5810275.006805061,
347212.43313307303,5810275.006805061,
347222.43313307303,5810275.006805061,
347232.43313307303,5810275.006805061,
347242.43313307303,5810275.006805061,
347252.43313307303,5810275.006805061,
347262.43313307303,5810275.006805061,
347272.43313307303,5810275.006805061,
347282.43313307303,5810275.006805061,
347292.43313307303,5810275.006805061,
347182.43313307303,5810265.006805061,
347192.43313307303,5810265.006805061,
347202.43313307303,5810265.006805061,
347212.43313307303,5810265.006805061,
347222.43313307303,5810265.006805061,
347232.43313307303,5810265.006805061,
347242.43313307303,5810265.006805061,
347252.43313307303,5810265.006805061,
347262.43313307303,5810265.006805061,
347272.43313307303,5810265.006805061,
347282.43313307303,5810265.006805061,
347292.43313307303,5810265.006805061,
347302.43313307303,5810265.006805061,
347182.43313307303,5810255.006805061,
347192.43313307303,5810255.006805061,
347202.43313307303,5810255.006805061,
347212.43313307303,5810255.006805061,
347222.43313307303,5810255.006805061,
347232.43313307303,5810255.006805061,
347242.43313307303,5810255.006805061,
347252.43313307303,5810255.006805061,
347262.43313307303,5810255.006805061,
347272.43313307303,5810255.006805061,
347282.43313307303,5810255.006805061,
347292.43313307303,5810255.006805061,
347302.43313307303,5810255.006805061,
347182.43313307303,5810245.006805061,
347192.43313307303,5810245.006805061,
347202.43313307303,5810245.006805061,
347212.43313307303,5810245.006805061,
347222.43313307303,5810245.006805061,
347232.43313307303,5810245.006805061,
347242.43313307303,5810245.006805061,
347252.43313307303,5810245.006805061,
347262.43313307303,5810245.006805061,
347272.43313307303,5810245.006805061,
347282.43313307303,5810245.006805061,
347292.43313307303,5810245.006805061,
347302.43313307303,5810245.006805061,
347182.43313307303,5810235.006805061,
347192.43313307303,5810235.006805061,
347202.43313307303,5810235.006805061,
347212.43313307303,5810235.006805061,
347222.43313307303,5810235.006805061,
347232.43313307303,5810235.006805061,
347242.43313307303,5810235.006805061,
347252.43313307303,5810235.006805061,
347262.43313307303,5810235.006805061,
347272.43313307303,5810235.006805061,
347282.43313307303,5810235.006805061,
347292.43313307303,5810235.006805061,
347302.43313307303,5810235.006805061,
347182.43313307303,5810225.006805061,
347192.43313307303,5810225.006805061,
347202.43313307303,5810225.006805061,
347212.43313307303,5810225.006805061,
347222.43313307303,5810225.006805061,
347232.43313307303,5810225.006805061,
347242.43313307303,5810225.006805061,
347252.43313307303,5810225.006805061,
347262.43313307303,5810225.006805061,
347272.43313307303,5810225.006805061,
347282.43313307303,5810225.006805061,
347292.43313307303,5810225.006805061,
347302.43313307303,5810225.006805061,
347182.43313307303,5810215.006805061,
347192.43313307303,5810215.006805061,
347202.43313307303,5810215.006805061,
347212.43313307303,5810215.006805061,
347222.43313307303,5810215.006805061,
347232.43313307303,5810215.006805061,
347242.43313307303,5810215.006805061,
347252.43313307303,5810215.006805061,
347262.43313307303,5810215.006805061,
347272.43313307303,5810215.006805061,
347282.43313307303,5810215.006805061,
347292.43313307303,5810215.006805061,
347302.43313307303,5810215.006805061,
347182.43313307303,5810205.006805061,
347192.43313307303,5810205.006805061,
347202.43313307303,5810205.006805061,
347212.43313307303,5810205.006805061,
347222.43313307303,5810205.006805061,
347232.43313307303,5810205.006805061,
347242.43313307303,5810205.006805061,
347252.43313307303,5810205.006805061,
347262.43313307303,5810205.006805061,
347272.43313307303,5810205.006805061,
347282.43313307303,5810205.006805061,
347292.43313307303,5810205.006805061,
347302.43313307303,5810205.006805061,
347182.43313307303,5810195.006805061,
347192.43313307303,5810195.006805061,
347202.43313307303,5810195.006805061,
347212.43313307303,5810195.006805061,
347222.43313307303,5810195.006805061,
347232.43313307303,5810195.006805061,
347242.43313307303,5810195.006805061,
347252.43313307303,5810195.006805061,
347262.43313307303,5810195.006805061,
347272.43313307303,5810195.006805061,
347282.43313307303,5810195.006805061,
347292.43313307303,5810195.006805061,
347302.43313307303,5810195.006805061,
347182.43313307303,5810185.006805061,
347192.43313307303,5810185.006805061,
347202.43313307303,5810185.006805061,
347212.43313307303,5810185.006805061,
347222.43313307303,5810185.006805061,
347232.43313307303,5810185.006805061,
347242.43313307303,5810185.006805061,
347252.43313307303,5810185.006805061,
347262.43313307303,5810185.006805061,
347272.43313307303,5810185.006805061,
347282.43313307303,5810185.006805061,
347292.43313307303,5810185.006805061,
347302.43313307303,5810185.006805061,
347182.43313307303,5810175.006805061,
347192.43313307303,5810175.006805061,
347202.43313307303,5810175.006805061,
347212.43313307303,5810175.006805061,
347222.43313307303,5810175.006805061,
347232.43313307303,5810175.006805061,
347242.43313307303,5810175.006805061,
347252.43313307303,5810175.006805061,
347262.43313307303,5810175.006805061,
347272.43313307303,5810175.006805061,
347282.43313307303,5810175.006805061,
347292.43313307303,5810175.006805061,
347302.43313307303,5810175.006805061,
347182.43313307303,5810165.006805061,
347192.43313307303,5810165.006805061,
347202.43313307303,5810165.006805061,
347212.43313307303,5810165.006805061,
347222.43313307303,5810165.006805061,
347232.43313307303,5810165.006805061,
347242.43313307303,5810165.006805061,
347252.43313307303,5810165.006805061,
347262.43313307303,5810165.006805061,
347272.43313307303,5810165.006805061,
347282.43313307303,5810165.006805061,
347292.43313307303,5810165.006805061,
347302.43313307303,5810165.006805061,
347672.43313307303,5810165.006805061,
347682.43313307303,5810165.006805061,
347692.43313307303,5810165.006805061,
347702.43313307303,5810165.006805061,
347712.43313307303,5810165.006805061,
347722.43313307303,5810165.006805061,
347732.43313307303,5810165.006805061,
347742.43313307303,5810165.006805061,
347752.43313307303,5810165.006805061,
347762.43313307303,5810165.006805061,
347772.43313307303,5810165.006805061,
347782.43313307303,5810165.006805061,
347792.43313307303,5810165.006805061,
347802.43313307303,5810165.006805061,
347182.43313307303,5810155.006805061,
347192.43313307303,5810155.006805061,
347202.43313307303,5810155.006805061,
347212.43313307303,5810155.006805061,
347222.43313307303,5810155.006805061,
347232.43313307303,5810155.006805061,
347242.43313307303,5810155.006805061,
347252.43313307303,5810155.006805061,
347262.43313307303,5810155.006805061,
347272.43313307303,5810155.006805061,
347282.43313307303,5810155.006805061,
347292.43313307303,5810155.006805061,
347302.43313307303,5810155.006805061,
347672.43313307303,5810155.006805061,
347682.43313307303,5810155.006805061,
347692.43313307303,5810155.006805061,
347702.43313307303,5810155.006805061,
347712.43313307303,5810155.006805061,
347722.43313307303,5810155.006805061,
347732.43313307303,5810155.006805061,
347742.43313307303,5810155.006805061,
347752.43313307303,5810155.006805061,
347762.43313307303,5810155.006805061,
347772.43313307303,5810155.006805061,
347782.43313307303,5810155.006805061,
